mode: set
atheon/bundler/main.go:29.56,31.90 2 1
atheon/bundler/main.go:31.90,32.67 1 1
atheon/bundler/main.go:32.67,34.4 1 1
atheon/bundler/main.go:35.3,36.17 2 1
atheon/bundler/main.go:36.17,38.4 1 0
atheon/bundler/main.go:39.3,40.51 2 1
atheon/bundler/main.go:40.51,42.4 1 1
atheon/bundler/main.go:43.3,43.38 1 1
atheon/bundler/main.go:43.38,45.4 1 1
atheon/bundler/main.go:46.3,48.24 3 1
atheon/bundler/main.go:48.24,50.4 1 1
atheon/bundler/main.go:51.3,57.13 2 1
atheon/bundler/main.go:59.2,59.16 1 1
atheon/bundler/main.go:59.16,61.3 1 1
atheon/bundler/main.go:63.2,64.16 2 1
atheon/bundler/main.go:64.16,66.3 1 0
atheon/bundler/main.go:68.2,70.47 3 1
atheon/bundler/main.go:70.47,72.3 1 0
atheon/bundler/main.go:73.2,73.35 1 1
atheon/bundler/main.go:73.35,75.3 1 0
atheon/bundler/main.go:77.2,77.66 1 1
atheon/bundler/main.go:77.66,79.3 1 1
atheon/bundler/main.go:80.2,80.23 1 1
atheon/bundler/main.go:83.13,86.22 3 0
atheon/bundler/main.go:86.22,88.3 1 0
atheon/bundler/main.go:89.2,89.22 1 0
atheon/bundler/main.go:89.22,91.3 1 0
atheon/bundler/main.go:93.2,94.16 2 0
atheon/bundler/main.go:94.16,97.3 2 0
atheon/bundler/main.go:98.2,98.56 1 0
atheon/cmd/mcp/main.go:32.13,37.16 4 0
atheon/cmd/mcp/main.go:37.16,39.58 2 0
atheon/cmd/mcp/main.go:39.58,40.12 1 0
atheon/cmd/mcp/main.go:42.3,42.34 1 0
atheon/cmd/mcp/main.go:42.34,43.12 1 0
atheon/cmd/mcp/main.go:46.3,49.21 3 0
atheon/cmd/mcp/main.go:50.21,55.5 1 0
atheon/cmd/mcp/main.go:56.21,57.48 1 0
atheon/cmd/mcp/main.go:58.21,59.41 1 0
atheon/cmd/mcp/main.go:60.11,61.63 1 0
atheon/cmd/mcp/main.go:64.3,65.18 2 0
atheon/cmd/mcp/main.go:65.18,67.4 1 0
atheon/cmd/mcp/main.go:67.9,69.4 1 0
atheon/cmd/mcp/main.go:70.3,70.19 1 0
atheon/cmd/mcp/main.go:74.34,75.73 1 1
atheon/cmd/mcp/main.go:75.73,77.3 1 1
atheon/cmd/mcp/main.go:78.2,107.3 3 1
atheon/cmd/mcp/main.go:110.58,115.51 2 1
atheon/cmd/mcp/main.go:115.51,117.3 1 1
atheon/cmd/mcp/main.go:119.2,119.16 1 1
atheon/cmd/mcp/main.go:120.21,127.24 3 1
atheon/cmd/mcp/main.go:127.24,129.4 1 1
atheon/cmd/mcp/main.go:130.3,131.69 2 1
atheon/cmd/mcp/main.go:133.19,141.17 5 1
atheon/cmd/mcp/main.go:141.17,143.4 1 1
atheon/cmd/mcp/main.go:144.3,144.35 1 0
atheon/cmd/mcp/main.go:146.18,154.17 5 1
atheon/cmd/mcp/main.go:154.17,156.4 1 0
atheon/cmd/mcp/main.go:157.3,157.35 1 1
atheon/cmd/mcp/main.go:159.10,160.74 1 1
atheon/cmd/mcp/main.go:164.57,166.24 2 1
atheon/cmd/mcp/main.go:166.24,168.3 1 1
atheon/cmd/mcp/main.go:168.8,169.30 1 1
atheon/cmd/mcp/main.go:169.30,171.4 1 1
atheon/cmd/mcp/main.go:172.3,172.53 1 1
atheon/cmd/mcp/main.go:174.2,176.3 1 1
atheon/main.go:16.13,20.45 2 1
atheon/main.go:20.45,23.3 2 1
atheon/main.go:25.2,26.16 2 0
atheon/main.go:26.16,28.3 1 0
atheon/main.go:30.2,31.15 2 0
atheon/main.go:31.15,33.3 1 0
atheon/main.go:34.2,36.20 2 0
atheon/main.go:36.20,39.3 2 0
atheon/main.go:41.2,41.17 1 0
atheon/main.go:42.16,44.47 2 0
atheon/main.go:44.47,47.4 2 0
atheon/main.go:48.3,48.35 1 0
atheon/main.go:50.16,51.20 1 0
atheon/main.go:51.20,54.4 2 0
atheon/main.go:55.3,55.35 1 0
atheon/main.go:55.35,58.4 2 0
atheon/main.go:59.3,59.47 1 0
atheon/main.go:61.17,62.20 1 0
atheon/main.go:62.20,65.4 2 0
atheon/main.go:66.3,66.36 1 0
atheon/main.go:66.36,69.4 2 0
atheon/main.go:70.3,70.48 1 0
atheon/main.go:72.14,73.20 1 0
atheon/main.go:75.30,76.14 1 0
atheon/main.go:78.15,81.24 3 0
atheon/main.go:81.24,83.4 1 0
atheon/main.go:85.22,87.17 2 0
atheon/main.go:87.17,90.4 2 0
atheon/main.go:91.3,93.24 3 0
atheon/main.go:93.24,95.4 1 0
atheon/main.go:97.16,98.20 1 0
atheon/main.go:98.20,101.4 2 0
atheon/main.go:102.3,103.17 2 0
atheon/main.go:103.17,106.4 2 0
atheon/main.go:107.3,108.24 2 0
atheon/main.go:108.24,110.4 1 0
atheon/main.go:112.10,115.17 3 0
atheon/main.go:115.17,118.4 2 0
atheon/main.go:119.3,121.19 3 0
atheon/main.go:121.19,123.4 1 0
atheon/main.go:123.9,125.4 1 0
atheon/main.go:126.3,126.17 1 0
atheon/main.go:126.17,129.4 2 0
atheon/main.go:130.3,131.24 2 0
atheon/main.go:131.24,133.4 1 0
atheon/main.go:137.84,138.25 1 1
atheon/main.go:138.25,139.10 1 1
atheon/main.go:140.46,142.46 2 1
atheon/main.go:142.46,143.42 1 1
atheon/main.go:143.42,145.6 1 1
atheon/main.go:147.21,148.20 1 1
atheon/main.go:149.11,150.26 1 1
atheon/main.go:153.2,153.8 1 1
atheon/main.go:156.81,157.16 1 1
atheon/main.go:157.16,160.3 2 0
atheon/main.go:161.2,161.24 1 1
atheon/main.go:161.24,163.3 1 1
atheon/main.go:163.8,164.30 1 1
atheon/main.go:164.30,166.18 2 1
atheon/main.go:166.18,168.5 1 1
atheon/main.go:169.4,170.23 2 1
atheon/main.go:170.23,172.5 1 1
atheon/main.go:174.3,174.49 1 1
atheon/main.go:176.2,176.37 1 1
atheon/main.go:176.37,179.3 1 1
atheon/main.go:182.49,184.29 2 1
atheon/main.go:184.29,186.3 1 1
atheon/main.go:187.2,187.65 1 1
atheon/main.go:187.65,189.3 1 0
atheon/main.go:192.29,193.46 1 1
atheon/main.go:193.46,194.39 1 1
atheon/main.go:194.39,196.4 1 1
atheon/main.go:197.3,197.9 1 1
atheon/main.go:200.2,203.25 4 1
atheon/main.go:203.25,204.10 1 1
atheon/main.go:205.44,206.57 1 1
atheon/main.go:207.25,208.22 1 0
atheon/main.go:209.26,210.23 1 0
atheon/main.go:214.2,215.31 2 1
atheon/main.go:215.31,216.61 1 1
atheon/main.go:216.61,217.12 1 1
atheon/main.go:219.3,219.34 1 1
atheon/main.go:219.34,220.12 1 0
atheon/main.go:222.3,222.34 1 1
atheon/main.go:222.34,223.12 1 0
atheon/main.go:225.3,225.33 1 1
atheon/main.go:228.2,228.29 1 1
atheon/main.go:228.29,230.19 2 1
atheon/main.go:230.19,232.4 1 0
atheon/main.go:233.3,233.63 1 1
atheon/main.go:235.2,235.48 1 1
atheon/main.go:238.18,257.2 1 1
atheon/main.go:259.30,260.17 1 1
atheon/main.go:260.17,262.3 1 1
atheon/main.go:263.2,263.38 1 1
atheon/main.go:266.34,267.16 1 1
atheon/main.go:267.16,269.3 1 1
atheon/main.go:270.2,270.16 1 1
atheon/main.go:270.16,272.3 1 1
atheon/main.go:273.2,273.31 1 1
